Date,Week,Open PR Count,Closed PR Count,Closed Today,Opened Today,Net Debt
2017-2-24,8,209,12311,11,29,18
2017-2-25,8,215,12320,9,15,6
2017-2-26,8,220,12322,2,7,5
2017-2-27,9,228,12325,3,11,8
2017-2-28,9,253,12327,2,27,25
2017-3-1,9,264,12328,1,12,11
2017-3-2,9,266,12340,12,14,2
2017-3-3,9,285,12341,1,20,19
2017-3-4,9,294,12341,0,9,9
2017-3-5,9,297,12341,0,3,3
2017-3-6,10,304,12344,3,10,7
2017-3-7,10,286,12380,36,18,-18
2017-3-8,10,282,12415,35,31,-4
2017-3-9,10,249,12461,46,13,-33
2017-3-10,10,166,12556,95,12,-83
2017-3-11,10,97,12641,85,16,-69
2017-3-12,10,101,12650,9,13,4
2017-3-13,11,106,12653,3,8,5
2017-3-14,11,103,12675,22,19,-3
2017-3-15,11,106,12689,14,17,3
2017-3-16,11,114,12694,5,13,8
2017-3-17,11,125,12698,4,15,11
2017-3-18,11,135,12704,6,16,10
2017-3-19,11,143,12705,1,9,8
2017-3-20,12,144,12711,6,7,1
2017-3-21,12,108,12765,54,18,-36
2017-3-22,12,68,12823,58,18,-40
2017-3-23,12,47,12866,43,22,-21
2017-3-24,12,48,12882,16,17,1
2017-3-25,12,40,12915,33,25,-8
2017-3-26,12,52,12916,1,13,12
2017-3-27,13,61,12916,0,9,9
2017-3-28,13,49,12948,32,20,-12
2017-3-29,13,47,12981,33,31,-2
2017-3-30,13,49,13010,29,31,2
2017-3-31,13,53,13031,21,25,4
2017-4-1,13,65,13049,18,30,12
2017-4-2,13,70,13050,1,6,5
2017-4-3,14,79,13051,1,10,9
2017-4-4,14,96,13053,2,19,17
2017-4-5,14,136,13062,9,49,40
2017-4-6,14,145,13065,3,12,9
2017-4-7,14,155,13074,9,19,10
2017-4-8,14,164,13080,6,15,9
2017-4-9,14,173,13084,4,13,9
2017-4-10,15,177,13086,2,6,4
2017-4-11,15,178,13106,20,21,1
2017-4-12,15,190,13126,20,32,12
2017-4-13,15,206,13135,9,25,16
2017-4-14,15,209,13144,9,12,3
2017-4-15,15,212,13164,20,23,3
2017-4-16,15,221,13164,0,9,9
2017-4-17,16,228,13164,0,7,7
2017-4-18,16,92,13325,161,25,-136
2017-4-19,16,92,13346,21,21,0
2017-4-20,16,110,13375,29,47,18
2017-4-21,16,96,13406,31,17,-14
