Date,Week,Open PR Count,Closed PR Count,Closed Today,Opened Today,Net Debt
2018-11-6,97,103,25465,44,31,-13
2018-11-7,97,92,25504,39,28,-11
2018-11-8,97,97,25526,22,27,5
2018-11-9,97,104,25550,24,31,7
2018-11-10,97,123,25558,8,27,19
2018-11-11,97,131,25560,2,10,8
2018-11-12,98,140,25562,2,11,9
2018-11-13,98,153,25571,9,22,13
2018-11-14,98,160,25591,20,27,7
2018-11-15,98,149,25624,33,22,-11
2018-11-16,98,161,25646,22,34,12
2018-11-17,98,167,25664,18,24,6
2018-11-18,98,181,25667,3,17,14
2018-11-19,99,147,25727,60,26,-34
2018-11-20,99,154,25743,16,23,7
2018-11-21,99,129,25793,50,25,-25
2018-11-22,99,122,25832,39,32,-7
2018-11-23,99,129,25838,6,13,7
2018-11-24,99,145,25842,4,20,16
2018-11-25,99,152,25842,0,7,7
2018-11-26,100,169,25846,4,21,17
2018-11-27,100,176,25868,22,29,7
2018-11-28,100,190,25877,9,23,14
2018-11-29,100,164,25935,58,32,-26
2018-11-30,100,165,25956,21,22,1
2018-12-1,100,172,25971,15,22,7
2018-12-2,100,179,25973,2,9,7
2018-12-3,101,190,25988,15,26,11
2018-12-4,101,147,26052,64,21,-43
2018-12-5,101,148,26094,42,43,1
2018-12-6,101,142,26131,37,31,-6
2018-12-7,101,148,26153,22,28,6
2018-12-8,101,118,26208,55,25,-30
2018-12-9,101,135,26208,0,17,17
2018-12-10,102,154,26215,7,26,19
2018-12-11,102,169,26228,13,28,15
2018-12-12,102,189,26238,10,30,20
2018-12-13,102,202,26275,37,50,13
2018-12-14,102,206,26304,29,33,4
2018-12-15,102,206,26324,20,20,0
2018-12-16,102,227,26328,4,25,21
2018-12-17,103,253,26331,3,29,26
2018-12-18,103,168,26447,116,31,-85
2018-12-19,103,114,26529,82,28,-54
2018-12-20,103,98,26565,36,20,-16
2018-12-21,103,93,26588,23,18,-5
2018-12-22,103,89,26611,23,19,-4
2018-12-23,103,100,26612,1,12,11
2018-12-24,104,112,26612,0,12,12
2018-12-25,104,74,26688,76,38,-38
2018-12-26,104,65,26725,37,28,-9
2018-12-27,104,78,26731,6,19,13
2018-12-28,104,89,26737,6,17,11
2018-12-29,104,108,26739,2,21,19
2018-12-30,104,132,26739,0,24,24
2018-12-31,105,139,26741,2,9,7
2019-1-1,105,70,26834,93,24,-69
2019-1-2,105,74,26840,6,10,4
2019-1-3,105,54,26879,39,19,-20
2019-1-4,105,54,26903,24,24,0
2019-1-5,105,52,26923,20,18,-2
2019-1-6,105,62,26923,0,10,10
2019-1-7,106,71,26931,8,17,9
2019-1-8,106,73,26950,19,21,2
2019-1-9,106,93,26951,1,21,20
2019-1-10,106,118,26956,5,30,25
2019-1-11,106,141,26964,8,31,23
2019-1-12,106,149,26970,6,14,8
2019-1-13,106,163,26970,0,14,14
2019-1-14,107,188,26971,1,26,25
2019-1-15,107,180,27007,36,28,-8
2019-1-16,107,190,27039,32,42,10
